rank,title,year,rating,runtime,Mystery,Drama,Sport,Sci-Fi,Family,Adventure,Horror,Crime,Romance,Fantasy,Western,Animation,War,Thriller,Action,Music,Comedy,Musical,Biography,History
188,Caleidoscopio,2014,8.4,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
189,Another Chance,2013,8.4,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,Better,2010,8.4,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,HIV,2014,8.4,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Shahid,2012,8.4,129,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
193,As Seen by the Rest,2014,8.4,154,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
194,The Murder of Hi Good,2012,8.4,65,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
195,Armin Only: Mirage,2011,8.4,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
196,Apur Panchali,2014,8.4,97,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
197,Montevideo: Taste of a Dream,2010,8.4,140,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
198,Di timur matahari,2012,8.4,110,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,The Best Red vs. Blue. Ever. Of All Time,2012,8.4,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,Amiri's Child,2014,8.4,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,Kismet,2010,8.4,72,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
202,Khosla's Nest,2006,8.4,135,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
203,Ugly,2013,8.4,128,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
204,The Algerian,2014,8.4,99,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
205,The Axeman of Henderson County,2014,8.4,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
206,Cinema Purgatorio,2014,8.4,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
207,This Narrow Place,2011,8.4,97,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,Urban Wolf,2010,8.4,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,Phantom Halo,2014,8.4,87,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
210,Udaan,2010,8.4,134,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,Manos: The Hands of Felt,2014,8.4,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
212,There's Something in the Pilliga,2014,8.4,82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Wish You Well,2013,8.4,100,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,OzLand,2014,8.5,115,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
215,Il segreto di Italia,2014,8.4,98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
216,Al Makida,2014,8.4,68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,Fellowship,2005,8.4,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
218,The Limelight,2011,8.4,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Hollow Spaces,2009,8.4,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,Grey Sheep,2013,8.4,105,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
221,Suck it Up Buttercup,2014,8.4,87,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,"Muse, Live at Rome Olympic Stadium, July 2013",2013,8.4,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
